Strategy Name,Profit factor (IS),Max. Drawdown (IS),Win rate (IS),# of trades (IS),Sharpe Ratio (IS),Net profit (IS)
Strategy 1.1.133,0.0,0.0,0.0,0,0.0,0.0
Strategy 1.1.154,0.63,62.39,93.1,458,0.0,373.01
Strategy 1.1.159,1.52,50.06,96.98,668,0.0,303.04
Strategy 1.1.176,1.45,73.63,87.45,166,0.0,409.87
Strategy 1.1.99,0.0,0.0,100.0,1,0.0,897.67
Strategy 1.10.122,0.0,0.0,50.0,1,0.0,259.15
Strategy 1.10.140,0.11,42.33,96.22,142,0.0,286.51
Strategy 1.11.168,0.0,113.9,98.78,209,0.0,218.04
Strategy 1.11.173,1.75,151.12,51.32,19,0.0,106.14
Strategy 1.11.193,0.0,0.0,0.0,0,0.0,0.0
Strategy 1.16.160,0.0,53.71,68.75,8,0.0,401.85
Strategy 1.2.160,0.0,104.84,51.45,12,0.0,145.21
Strategy 1.21.113,0.0,0.0,97.5,20,0.0,230.96
Strategy 1.21.183,0.0,0.0,0.0,0,0.0,0.0
Strategy 1.22.136,0.0,0.0,0.0,0,0.0,0.0
Strategy 1.22.160,0.27,46.61,97.89,461,0.0,267.03
Strategy 1.23.185,1.29,96.3,50.0,7,0.0,136.77
Strategy 1.24.113,0.05,0.0,59.38,16,0.0,473.86
Strategy 1.24.130,0.55,71.9,94.14,426,0.0,336.47
Strategy 1.4.179,0.0,0.0,100.0,1,0.0,505.93
Strategy 1.6.172,0.0,0.0,0.0,0,0.0,0.0
Strategy 1.7.154,0.0,129.65,86.14,49,0.0,390.52
Strategy 1.8.145,0.0,70.35,97.67,313,0.0,238.53
Strategy 2.1.171,0.04,25.47,98.44,406,0.0,244.52
Strategy 2.1.181,10.15,93.17,50.2,18,0.0,427.49
Strategy 2.10.150,0.07,110.48,50.0,4,0.0,224.81
Strategy 2.11.159,0.7,83.43,50.32,10,0.0,249.7
Strategy 2.12.137,0.11,56.78,93.78,104,0.0,334.84
Strategy 2.18.184,0.0,174.77,69.13,83,0.0,426.65
Strategy 2.2.110,0.64,84.96,50.0,6,0.0,132.86
Strategy 2.2.163,0.0,0.0,0.0,0,0.0,0.0
Strategy 2.21.138,0.0,238.69,50.8,40,0.0,63.22
Strategy 2.21.181,0.0,0.0,100.0,10,0.0,490.11
Strategy 2.25.115,0.0,0.0,0.0,0,0.0,0.0
Strategy 2.26.122,0.84,40.94,51.43,6,0.0,179.91
Strategy 2.27.119,0.0,0.0,0.0,0,0.0,0.0
Strategy 2.29.157,0.0,96.09,50.43,95,0.0,462.66
Strategy 2.29.186,0.11,20.23,91.9,45,0.0,345.91
Strategy 2.30.108,0.02,0.0,83.87,31,0.0,445.35
Strategy 2.30.141,5.31,161.99,50.25,42,0.0,511.49
Strategy 2.4.197,4.36,88.62,53.87,32,0.0,516.69
Strategy 2.5.142,12.44,101.7,50.64,22,0.0,570.69
Strategy 2.5.164,0.0,0.0,100.0,1,0.0,209.3
Strategy 2.5.187,0.02,0.0,90.91,33,0.0,387.41
Strategy 2.8.193,2.82,73.27,50.39,8,0.0,85.76
Strategy 3.1.177,0.04,186.66,91.83,97,0.0,319.3
Strategy 3.1.187,0.0,150.66,87.74,361,0.0,393.5
Strategy 3.1.193,0.98,93.14,68.14,96,0.0,457.84
Strategy 3.10.194,0.0,0.0,75.0,2,0.0,557.24
Strategy 3.11.125,0.89,80.48,86.93,188,0.0,403.99
Strategy 3.11.183,0.29,42.11,93.76,141,0.0,354.09
Strategy 3.12.111,0.39,56.18,91.38,134,0.0,380.39
Strategy 3.13.139,0.0,60.88,50.0,11,0.0,65.4
Strategy 3.13.157,0.13,69.61,96.88,228,0.0,270.29
Strategy 3.16.157,6.45,113.81,60.3,74,0.0,483.09
Strategy 3.18.120,0.25,53.79,74.63,46,0.0,452.11
Strategy 3.21.155,0.16,20.57,98.08,457,0.0,269.72
Strategy 3.7.152,0.0,100.0,50.0,0,0.0,30.41
Strategy 3.7.178,0.27,71.19,96.62,560,0.0,298.43
Strategy 3.8.109,0.14,49.26,87.68,29,0.0,355.39
Strategy 3.8.121,0.39,55.33,96.92,302,0.0,273.4
Strategy 3.8.126,0.0,0.0,0.0,0,0.0,0.0
Strategy 4.10.121,1.47,52.42,56.5,22,0.0,531.1
Strategy 4.11.121,0.02,231.88,92.64,60,0.0,353.7
Strategy 4.12.161,0.09,19.96,98.01,120,0.0,256.63
Strategy 4.17.177,0.02,100.0,50.0,0,0.0,43.63
Strategy 4.18.162,0.0,0.0,0.0,0,0.0,0.0
Strategy 4.2.105,9.56,102.39,50.24,53,0.0,565.07
Strategy 4.20.128,0.63,94.75,54.97,8,0.0,310.31
Strategy 4.20.173,0.0,0.0,99.07,107,0.0,322.24
Strategy 4.24.183,3.09,69.0,58.02,56,0.0,505.53
Strategy 4.25.163,10.26,116.7,50.45,15,0.0,604.38
Strategy 4.26.148,0.02,136.23,60.94,95,0.0,477.57
Strategy 4.26.172,0.0,46.21,55.81,39,0.0,377.21
Strategy 4.30.149,0.0,0.0,0.0,0,0.0,0.0
Strategy 4.7.113,3.68,85.54,50.0,14,0.0,108.83
Strategy 4.8.190,14.26,80.41,50.48,23,0.0,602.78
Strategy 4.8.195,0.38,116.68,77.12,95,0.0,428.4
